"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 12- 28","37,710.10","37,661.52","37,778.85","37,650.98","201.87M","0.14%"
"2023- 12- 27","37,656.52","37,518.62","37,683.70","37,488.60","248.25M","0.30%"
"2023- 12- 26","37,545.33","37,405.90","37,617.99","37,371.83","215.08M","0.43%"
"2023- 12- 22","37,385.97","37,349.27","37,534.52","37,268.88","254.55M","-0.05%"
"2023- 12- 21","37,404.35","37,225.32","37,418.76","37,127.05","258.30M","0.87%"
"2023- 12- 20","37,082.00","37,520.13","37,641.30","37,073.04","303.46M","-1.27%"
"2023- 12- 19","37,557.92","37,311.82","37,562.83","37,311.82","277.63M","0.68%"
"2023- 12- 18","37,306.02","37,330.14","37,393.45","37,284.85","296.07M","0.00%"
"2023- 12- 15","37,305.16","37,194.50","37,347.60","37,092.02","788.16M","0.15%"
"2023- 12- 14","37,248.35","37,115.63","37,287.50","37,051.52","458.10M","0.43%"
"2023- 12- 13","37,090.24","36,601.80","37,094.85","36,523.59","359.63M","1.40%"
"2023- 12- 12","36,577.94","36,442.10","36,596.11","36,373.22","292.77M","0.48%"
"2023- 12- 11","36,404.93","36,254.33","36,416.18","36,231.19","342.49M","0.43%"
"2023- 12- 08","36,247.87","36,084.82","36,296.20","36,061.64","295.19M","0.36%"
"2023- 12- 07","36,117.38","36,124.17","36,164.17","36,021.95","290.17M","0.17%"
"2023- 12- 06","36,054.43","36,183.73","36,292.58","36,024.25","283.24M","-0.19%"
"2023- 12- 05","36,124.56","36,135.65","36,164.68","36,010.85","311.22M","-0.22%"
"2023- 12- 04","36,204.44","36,089.38","36,238.18","36,029.69","330.58M","-0.11%"
"2023- 12- 01","36,245.50","35,914.45","36,264.85","35,914.45","321.84M","0.82%"
"2023- 11- 30","35,950.89","35,596.57","35,970.70","35,592.22","435.55M","1.47%"
"2023- 11- 29","35,430.42","35,436.80","35,579.13","35,405.89","299.34M","0.04%"
