"날짜","종가","시가","고가","저가","거래량","변동 %"
"2025- 07- 10","297,000","284,000","297,000","283,500","4.45M","5.69%"
"2025- 07- 09","281,000","282,500","284,000","277,500","2.41M","-0.35%"
"2025- 07- 08","282,000","271,000","285,000","268,500","3.11M","4.06%"
"2025- 07- 07","271,000","266,000","272,000","264,500","2.52M","0.18%"
"2025- 07- 04","270,500","279,500","281,500","269,000","3.64M","-2.87%"
"2025- 07- 03","278,500","281,000","284,000","277,000","3.54M","-0.18%"
"2025- 07- 02","279,000","283,500","283,500","274,500","4.42M","-2.28%"
"2025- 07- 01","285,500","291,000","294,500","285,500","3.55M","-2.23%"
"2025- 06- 30","292,000","288,500","294,500","286,000","4.17M","2.82%"
"2025- 06- 27","284,000","288,000","294,500","281,000","4.99M","-3.07%"
"2025- 06- 26","293,000","294,500","298,500","287,000","5.41M","2.45%"
"2025- 06- 25","286,000","289,000","291,500","284,000","5.16M","2.69%"
"2025- 06- 24","278,500","270,000","283,000","269,500","5.30M","7.32%"
"2025- 06- 23","259,500","252,500","263,000","248,500","3.32M","0.97%"
"2025- 06- 20","257,000","249,000","257,000","247,500","3.55M","4.47%"
"2025- 06- 19","246,000","247,000","250,000","242,000","2.25M","-0.20%"
"2025- 06- 18","246,500","245,500","252,000","245,000","3.65M","-1.00%"
"2025- 06- 17","249,000","253,000","260,000","248,000","4.96M","0.40%"
"2025- 06- 16","248,000","238,000","248,500","238,000","3.71M","5.31%"
"2025- 06- 13","235,500","240,500","243,000","233,750","3.99M","0.00%"
"2025- 06- 12","235,500","242,500","246,500","235,000","4.96M","-1.88%"
"2025- 06- 11","240,000","236,000","241,000","235,000","4.11M","4.12%"
"2025- 06- 10","230,500","231,000","232,500","227,500","3.22M","0.66%"
"2025- 06- 09","229,000","233,000","233,500","228,000","3.01M","2.00%"
"2025- 06- 05","224,500","225,500","230,000","222,000","4.79M","3.22%"
"2025- 06- 04","217,500","218,000","223,000","216,500","5.00M","4.82%"
"2025- 06- 02","207,500","205,000","208,500","203,000","1.71M","1.47%"
"2025- 05- 30","204,500","210,000","210,000","203,000","4.07M","-3.54%"
"2025- 05- 29","212,000","214,500","214,500","207,500","3.79M","1.92%"
"2025- 05- 28","208,000","206,500","209,500","206,000","2.95M","2.72%"
"2025- 05- 27","202,500","200,500","203,500","200,000","1.42M","-0.25%"
"2025- 05- 26","203,000","200,000","203,500","196,900","1.46M","1.50%"
"2025- 05- 23","200,000","199,900","201,500","198,700","1.43M","1.57%"
"2025- 05- 22","196,900","199,900","201,500","196,500","1.99M","-1.80%"
