"날짜","종가","시가","고가","저가","거래량","변동 %"
"2022- 10- 16","95,500","95,500","95,500","95,500","","0.00%"
"2022- 10- 14","95,500","96,000","96,600","94,300","3.12M","0.63%"
"2022- 10- 13","94,900","93,400","94,900","92,800","4.18M","0.96%"
"2022- 10- 12","94,000","91,000","94,000","90,900","4.64M","4.21%"
"2022- 10- 11","90,200","89,700","91,200","88,000","3.81M","-1.10%"
"2022- 10- 10","91,200","91,200","91,200","91,200","","0.00%"
"2022- 10- 07","91,200","89,600","91,800","87,800","2.41M","1.45%"
"2022- 10- 06","89,900","90,900","92,000","89,800","2.68M","0.11%"
"2022- 10- 05","89,800","90,000","90,400","88,100","5.80M","4.18%"
"2022- 10- 04","86,200","85,200","87,200","85,200","4.13M","3.73%"
"2022- 10- 03","83,100","83,100","83,100","83,100","","0.00%"
"2022- 09- 30","83,100","80,900","83,900","80,400","4.63M","2.85%"
"2022- 09- 29","80,800","82,500","82,900","80,500","2.04M","-0.49%"
"2022- 09- 28","81,200","81,900","83,500","80,500","3.03M","-0.98%"
"2022- 09- 27","82,000","82,200","82,700","80,700","2.57M","-0.61%"
"2022- 09- 26","82,500","81,500","83,200","81,500","2.81M","-1.20%"
"2022- 09- 25","83,500","83,500","83,500","83,500","","0.00%"
"2022- 09- 23","83,500","85,500","86,600","83,300","3.90M","-2.91%"
"2022- 09- 22","86,000","86,300","86,900","85,900","2.17M","-2.27%"
"2022- 09- 21","88,000","87,500","88,500","86,300","2.93M","0.00%"
"2022- 09- 20","88,000","89,000","90,600","87,500","4.23M","-2.22%"
"2022- 09- 19","90,000","90,800","91,500","90,000","1.96M","-1.32%"
"2022- 09- 18","91,200","91,200","91,200","91,200","","0.00%"
"2022- 09- 16","91,200","90,900","91,400","90,000","2.21M","-0.87%"
"2022- 09- 15","92,000","92,900","93,000","91,500","1.73M","-1.08%"
"2022- 09- 14","93,000","91,700","93,400","91,300","2.39M","-1.90%"
"2022- 09- 13","94,800","91,700","95,200","91,700","3.27M","4.87%"
"2022- 09- 12","90,400","90,400","90,400","90,400","","0.00%"
"2022- 09- 08","90,400","90,500","91,000","90,000","1.97M","0.00%"
"2022- 09- 07","90,400","91,100","91,100","89,900","2.04M","-1.53%"
"2022- 09- 06","91,800","91,900","92,900","91,100","1.38M","0.77%"
"2022- 09- 05","91,100","91,800","92,400","90,400","1.70M","-0.65%"
"2022- 09- 04","91,700","91,700","91,700","91,700","","0.00%"
"2022- 09- 02","91,700","92,700","93,300","91,600","2.03M","-0.76%"
"2022- 09- 01","92,400","93,900","93,900","92,300","2.30M","-2.94%"
"2022- 08- 31","95,200","92,600","95,500","92,100","2.31M","2.15%"
"2022- 08- 30","93,200","92,700","93,400","92,400","1.58M","0.76%"
"2022- 08- 29","92,500","92,700","93,300","92,000","2.61M","-2.73%"
"2022- 08- 28","95,100","95,100","95,100","95,100","","0.00%"
"2022- 08- 26","95,100","95,400","96,800","94,700","2.29M","1.06%"
"2022- 08- 25","94,100","93,600","94,100","92,100","2.07M","0.97%"
"2022- 08- 24","93,200","93,900","94,200","93,000","1.44M","-0.43%"
"2022- 08- 23","93,600","94,100","95,400","93,600","1.82M","-1.68%"
"2022- 08- 22","95,200","95,200","95,600","94,000","2.29M","-1.24%"
"2022- 08- 21","96,400","96,400","96,400","96,400","","0.00%"
"2022- 08- 19","96,400","97,000","97,500","95,900","1.88M","0.73%"
"2022- 08- 18","95,700","95,900","96,400","95,300","1.88M","-1.44%"
